"teamName","scoreHome","scoreAway","completions","throwingAttempts","hucksCompleted","hucksAttempted","blocks","turnovers","oLineScores","oLinePoints","oLinePossessions","dLineScores","dLinePoints","dLinePossessions","redZoneScores","redZonePossessions","gameID","teamID"
"Riptide",37,9,205,232,NA,NA,20,27,11,11,14,26,39,52,NA,NA,"2014-06-07-SLC-VAN","riptide"
"Lions",37,9,276,331,NA,NA,10,55,9,39,63,0,11,4,NA,NA,"2014-06-07-SLC-VAN","lions"
"Spiders",33,30,232,243,NA,NA,5,11,26,32,36,7,35,12,NA,NA,"2014-06-07-SF-SJ","spiders"
"FlameThrowers",33,30,328,344,NA,NA,4,16,27,35,38,3,32,9,NA,NA,"2014-06-07-SF-SJ","flamethrowers"
"Empire",24,16,264,286,NA,NA,20,22,11,18,25,13,26,23,NA,NA,"2014-06-07-MTL-NY","empire"
"Royal",24,16,258,286,NA,NA,9,28,11,26,35,5,18,13,NA,NA,"2014-06-07-MTL-NY","royal"
"Radicals",12,23,232,251,NA,NA,18,19,10,14,18,13,25,26,NA,NA,"2014-06-07-MAD-IND","radicals"
"AlleyCats",12,23,322,353,NA,NA,5,31,11,25,38,1,14,6,NA,NA,"2014-06-07-MAD-IND","alleycats"
"Union",26,13,212,239,NA,NA,22,27,9,15,27,17,28,28,NA,NA,"2014-06-07-DET-CHI","union"
"Mechanix",26,13,264,296,NA,NA,10,32,10,22,30,3,15,18,NA,NA,"2014-06-07-DET-CHI","mechanix"
"Revolution",30,18,201,229,NA,NA,5,28,14,32,39,4,20,8,NA,NA,"2014-06-07-CIN-MIN","revolution"
"Wind Chill",30,18,398,413,NA,NA,19,15,16,20,24,14,32,24,NA,NA,"2014-06-07-CIN-MIN","windchill"
"FlameThrowers",20,16,251,283,NA,NA,13,32,10,18,33,10,22,22,NA,NA,"2014-06-01-VAN-SF","flamethrowers"
"Riptide",20,16,202,236,NA,NA,11,34,11,22,33,5,18,20,NA,NA,"2014-06-01-VAN-SF","riptide"
"Empire",16,27,239,258,NA,NA,13,19,15,18,26,12,29,22,NA,NA,"2014-06-01-NY-PHI","empire"
"Phoenix",16,27,324,354,NA,NA,11,30,15,29,39,1,18,9,NA,NA,"2014-06-01-NY-PHI","phoenix"
"Dragons",19,22,238,267,NA,NA,13,29,14,24,35,5,21,13,NA,NA,"2014-06-01-MTL-ROC","dragons"
"Royal",19,22,243,267,NA,NA,16,24,13,21,29,9,24,21,NA,NA,"2014-06-01-MTL-ROC","royal"
"Riptide",26,25,268,289,NA,NA,10,21,20,28,35,5,27,13,NA,NA,"2014-05-31-VAN-SJ","riptide"
"Spiders",26,25,249,269,NA,NA,13,20,20,27,34,6,28,14,NA,NA,"2014-05-31-VAN-SJ","spiders"
"Lions",15,22,301,350,NA,NA,13,49,11,24,43,4,17,21,NA,NA,"2014-05-31-SEA-SLC","lions"
"Cascades",15,22,250,290,NA,NA,23,40,10,17,34,12,24,32,NA,NA,"2014-05-31-SEA-SLC","cascades"
"Royal",25,20,294,318,NA,NA,10,24,15,27,33,5,22,13,NA,NA,"2014-05-31-MTL-TOR","royal"
"Rush",25,20,237,254,NA,NA,11,17,16,22,27,9,27,18,NA,NA,"2014-05-31-MTL-TOR","rush"
"Radicals",12,29,231,248,NA,NA,23,17,13,14,20,16,31,29,NA,NA,"2014-05-31-MAD-CIN","radicals"
"Revolution",12,29,347,380,NA,NA,9,33,11,31,41,1,14,6,NA,NA,"2014-05-31-MAD-CIN","revolution"
"Union",17,31,185,204,NA,NA,8,19,17,19,19,14,33,32,NA,NA,"2014-05-31-CHI-DET","union"
"Mechanix",17,31,270,304,NA,NA,15,34,17,33,51,0,19,2,NA,NA,"2014-05-31-CHI-DET","mechanix"
"Cascades",16,21,272,302,NA,NA,10,30,11,23,33,5,18,15,NA,NA,"2014-05-25-VAN-SEA","cascades"
"Riptide",16,21,213,238,NA,NA,27,25,10,18,26,11,23,22,NA,NA,"2014-05-25-VAN-SEA","riptide"
"Royal",26,21,299,318,NA,NA,7,19,19,28,36,2,23,6,NA,NA,"2014-05-25-MTL-NY","royal"
"Empire",26,21,267,282,NA,NA,13,15,20,23,26,6,28,18,NA,NA,"2014-05-25-MTL-NY","empire"
"Wind Chill",18,29,291,312,NA,NA,25,21,14,20,32,15,31,21,NA,NA,"2014-05-25-MIN-DET","windchill"
"Mechanix",18,29,272,306,NA,NA,9,34,15,31,37,3,20,19,NA,NA,"2014-05-25-MIN-DET","mechanix"
"Dragons",21,26,314,345,NA,NA,5,31,17,28,42,4,23,12,NA,NA,"2014-05-25-DC-ROC","dragons"
"Breeze",21,26,274,300,NA,NA,19,26,18,23,31,8,28,23,NA,NA,"2014-05-25-DC-ROC","breeze"
"Phoenix",15,23,345,378,NA,NA,13,33,12,25,40,3,17,10,NA,NA,"2014-05-24-MTL-PHI","phoenix"
"Royal",15,23,171,191,NA,NA,27,20,12,17,26,11,25,19,NA,NA,"2014-05-24-MTL-PHI","royal"
"Wind Chill",25,26,345,367,NA,NA,16,22,20,28,34,6,28,19,NA,NA,"2014-05-24-MIN-CIN","windchill"
"Revolution",25,26,284,308,NA,NA,11,24,19,28,39,6,28,12,NA,NA,"2014-05-24-MIN-CIN","revolution"
"Rush",27,17,237,257,NA,NA,18,20,12,19,25,16,30,26,NA,NA,"2014-05-24-DC-TOR","rush"
"Breeze",27,17,320,350,NA,NA,10,30,11,29,36,6,19,12,NA,NA,"2014-05-24-DC-TOR","breeze"
"Radicals",15,12,226,245,NA,NA,12,19,10,14,23,5,17,14,NA,NA,"2014-05-24-CHI-MAD","radicals"
"Union",15,12,240,263,NA,NA,7,23,11,17,25,1,14,13,NA,NA,"2014-05-24-CHI-MAD","union"
"Radicals",15,14,221,243,NA,NA,11,22,8,17,25,6,16,13,NA,NA,"2014-05-23-MAD-CHI","radicals"
"Union",15,14,300,321,NA,NA,10,21,7,16,22,8,17,17,NA,NA,"2014-05-23-MAD-CHI","union"
"Cascades",26,13,246,273,NA,NA,15,27,10,15,25,16,28,30,NA,NA,"2014-05-18-SLC-SEA","cascades"
"Royal",27,14,246,272,NA,NA,23,26,15,16,21,12,29,33,NA,NA,"2014-05-18-ROC-MTL","royal"
"Dragons",27,14,196,233,NA,NA,11,37,13,29,48,1,16,6,NA,NA,"2014-05-18-ROC-MTL","dragons"
"Phoenix",25,21,374,397,NA,NA,8,23,16,27,37,5,23,8,NA,NA,"2014-05-18-PHI-DC","phoenix"
"Breeze",25,21,173,192,NA,NA,9,19,16,23,26,9,27,19,NA,NA,"2014-05-18-PHI-DC","breeze"
"Riptide",40,28,272,296,NA,NA,20,24,18,30,33,22,42,33,NA,NA,"2014-05-17-SLC-VAN","riptide"
"Lions",40,28,290,326,NA,NA,12,36,19,42,52,8,29,13,NA,NA,"2014-05-17-SLC-VAN","lions"
"FlameThrowers",22,21,215,250,NA,NA,16,35,13,23,41,9,24,19,NA,NA,"2014-05-17-SJ-SF","flamethrowers"
"Spiders",22,21,167,203,NA,NA,15,36,12,24,32,9,23,27,NA,NA,"2014-05-17-SJ-SF","spiders"
"Empire",13,24,202,223,NA,NA,19,21,12,15,20,12,26,28,NA,NA,"2014-05-17-NY-ROC","empire"
"Dragons",13,24,247,276,NA,NA,8,29,10,26,37,3,15,7,NA,NA,"2014-05-17-NY-ROC","dragons"
"AlleyCats",30,22,242,263,NA,NA,27,21,20,24,31,10,32,21,NA,NA,"2014-05-17-DET-IND","alleycats"
"Mechanix",30,22,263,293,NA,NA,16,30,20,32,45,2,24,11,NA,NA,"2014-05-17-DET-IND","mechanix"
"Union",20,31,260,273,NA,NA,16,13,18,22,25,13,33,22,NA,NA,"2014-05-17-CHI-MIN","union"
"Wind Chill",20,31,335,361,NA,NA,13,26,18,33,41,2,22,7,NA,NA,"2014-05-17-CHI-MIN","windchill"
"Revolution",20,24,259,288,NA,NA,15,29,17,26,42,3,22,9,NA,NA,"2014-05-16-IND-CIN","revolution"
"AlleyCats",20,24,301,325,NA,NA,17,24,17,22,27,7,26,24,NA,NA,"2014-05-16-IND-CIN","alleycats"
"Cascades",14,23,332,368,NA,NA,11,36,11,25,40,3,16,11,NA,NA,"2014-05-11-SJ-SEA","cascades"
"Spiders",14,23,202,227,NA,NA,14,25,11,16,24,12,25,28,NA,NA,"2014-05-11-SJ-SEA","spiders"
"Dragons",18,30,242,278,NA,NA,9,36,16,32,47,2,20,9,NA,NA,"2014-05-10-TOR-ROC","dragons"
"Rush",18,30,250,274,NA,NA,17,24,17,20,26,13,32,31,NA,NA,"2014-05-10-TOR-ROC","rush"
"Spiders",32,39,215,237,NA,NA,22,22,27,34,41,12,41,23,NA,NA,"2014-05-10-SJ-VAN","spiders"
"Riptide",32,39,301,330,NA,NA,14,29,27,41,52,5,34,13,NA,NA,"2014-05-10-SJ-VAN","riptide"
"FlameThrowers",16,19,180,220,NA,NA,10,40,10,18,30,9,21,30,NA,NA,"2014-05-10-SF-SLC","flamethrowers"
"Lions",16,19,223,265,NA,NA,18,42,11,21,40,5,18,20,NA,NA,"2014-05-10-SF-SLC","lions"
"Empire",20,10,282,313,NA,NA,20,31,9,12,16,11,22,38,NA,NA,"2014-05-10-PHI-NY","empire"
